id,visible_area,match_id,teammate,actor,keeper,location
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[76.78526323529927, 49.8921669503232]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[28.85107936035884, 51.82007438895873]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[38.06804181091475, 65.57629481915339]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,True,False,"[48.5, 41.29999923706055]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[54.82067024234817, 25.707875461214172]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[56.72188906584037, 49.211501304791874]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[57.65015717330118, 32.54557490854377]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[58.76970731883244, 54.84647396059409]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[59.49186645134706, 12.58427322227282]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[59.52414636893489, 15.761169812091175]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[61.02824794392712, 40.3965309411283]"
